Feature,Category,Primary Value Driver,Operational Frequency,Profit Impact,Differentiation Impact,Complexity,Current Repo Status,Competitor Baseline,Priority,Reason to Win,Key Risk if Missing
"Billing core and GST invoicing","Basic","Revenue","Hourly",5,1,3,"Needs Hardening","Strong Competitor Table Stakes","Build Now","Fast compliant billing is the adoption gate for every counter shift and every future workflow.","Slow billing, invoice mistakes, and operator distrust can kill first-customer adoption."
"Batch / FEFO stock truth","Basic","Margin Protection","Hourly",5,2,4,"Needs Hardening","Strong Competitor Table Stakes","Build Now","Reliable batch-first selling protects margin by reducing wrong-batch usage, expiry leakage, and stock confusion.","Negative stock, expiry leakage, and stock mismatch will break owner trust quickly."
"Purchase import, inward, and receipt matching","Basic","Ops Efficiency","Daily",5,3,4,"Partial","Strong Competitor Table Stakes","Build Now","Large distributor invoices become practical only when inward is fast, validated, and receipt-aware.","Teams fall back to manual books or partial system usage, which corrupts stock truth from day one."
"Dump / RTV / supplier credit-note recovery","Basic","Margin Protection","Daily",5,5,4,"Partial","Opportunity","Build Now","This is one of the clearest margin-recovery loops in pharmacy and a strong owner-facing win theme.","Expiry and damaged stock turn into unrecovered losses, and supplier claims leak silently."
"Stock-aware actionable substitute engine","ICE","Revenue","Hourly",5,5,3,"Needs Hardening","Weakly Served","Build Now","It preserves sales when the requested brand is unavailable and gives PharmaFlow a smart-pharmacist counter story.","The store loses sales when unavailable brands cannot be replaced quickly with sellable alternatives."
"Stock movement ledger, adjustments, and reconciliation","Basic","Margin Protection","Daily",5,4,4,"Partial","Strong Competitor Table Stakes","Build Now","Auditable stock movement is the backbone for trust across billing, inward, returns, and inspections.","Unexplained stock drift makes every report and every claim suspect."
"Expiry action intelligence","ICE","Margin Protection","Daily",5,5,4,"Partial","Opportunity","Build Now","Actionable expiry handling turns alerts into money-saving decisions such as quarantine, transfer, dump, or RTV.","Stores see expiry risk but still react too late to prevent value loss."
"Sales returns linked to original invoices","Basic","Margin Protection","Daily",5,2,3,"Partial","Strong Competitor Table Stakes","Build Now","A clean reverse sale flow keeps customer service, stock, and accounts aligned.","Return disputes and incorrect stock restoration create daily operational friction."
"Controlled-drug compliance registers","Basic","Compliance","Daily",4,3,3,"Working","Strong Competitor Table Stakes","Build Now","Inspector-ready registers reduce legal risk and make the product credible for real pharmacy use.","Compliance failures can block rollout regardless of feature depth elsewhere."
"Prescription capture, archive, and retrieval","Basic","Compliance","Daily",4,4,3,"Needs Hardening","Strong Competitor Table Stakes","Build Now","Searchable prescription evidence increases operational trust for repeat visits and restricted-medicine reviews.","The system looks incomplete in controlled-drug workflows and weak under inspection."
"Audit trail, price-control, and override visibility","Basic","Compliance","Daily",4,3,3,"Needs Hardening","Strong Competitor Table Stakes","Build Now","Managers need to know who changed price, stock, or compliance-sensitive data and why.","Leakage, disputes, and abuse become hard to prove or correct."
"Shortage, reorder, and replenishment suggestions","Basic","Revenue","Daily",4,4,3,"Working","Strong Competitor Table Stakes","Build Now","Practical reorder and shortage visibility protects sales by reducing preventable stockouts.","The store misses demand and loses credibility when common items go out of stock."
"Multi-store roles, tenant scoping, and branch context","Basic","Scale Readiness","Daily",4,4,4,"Working","Strong Competitor Table Stakes","Build Now","Correct role and branch scoping keeps one-store rollout safe and preserves the architecture for multi-store expansion.","Cross-store visibility mistakes create security and commercial risk early."
"Production trust layer: durable storage, monitoring, and rollback discipline","Basic","Scale Readiness","Occasional",4,1,4,"Needs Hardening","Common","Build Now","A paid customer needs confidence that prescriptions, invoices, and deployments will not fail silently.","A technically good product can still fail commercially because the hosted setup is fragile."
"HO / warehouse dashboard and operational visibility","ICE","Scale Readiness","Weekly",3,5,4,"Partial","Strong Competitor Table Stakes","Phase 2","This becomes the control tower for shortages, expiries, claims, and receipts once multiple stores are live.","Multi-store rollout becomes founder-dependent because head office cannot see network risk clearly."
"Inter-store transfer and warehouse replenishment orchestration","Nice","Scale Readiness","Daily",4,4,4,"Partial","Strong Competitor Table Stakes","Phase 2","It reduces urgent purchase leakage by moving available stock intelligently across the network.","Branches over-purchase while other branches sit on idle or near-expiry stock."
"Supplier claim cockpit","ICE","Margin Protection","Weekly",4,5,4,"Partial","Opportunity","Phase 2","A single claim cockpit is a high-signal owner feature because it shows recoverable money by supplier.","Claims remain scattered across notes, calls, and staff memory, so recoveries drop."
"Controlled-drug patient and compliance memory","ICE","Compliance","Daily",4,5,3,"Partial","Opportunity","Phase 2","Fast access to prior prescriptions, doctors, and restricted sales improves both safety and speed.","Repeat compliance-heavy sales stay slow and risky, especially for audit follow-up."
"Profit, slow-mover, and expiry-loss analytics","Nice","Ops Efficiency","Weekly",3,2,2,"Working","Common","Phase 2","These reports help owners decide what to buy less of, promote, transfer, or stop carrying.","The store operates reactively and cannot explain margin erosion or dead stock."
"Offline / hybrid branch mode","Nice","Scale Readiness","Daily",3,4,5,"Missing","Weakly Served","Phase 3","If poor connectivity becomes real, resilient branch operation becomes a strong rollout differentiator.","Weak internet can block billing and receiving in the exact stores that need software reliability most."
"Precomputed chain analytics and KPI history","ICE","Scale Readiness","Weekly",3,4,4,"Missing","Strong Competitor Table Stakes","Phase 3","Large chains expect fast network-level analytics without waiting on raw transactional queries.","Reporting slows down as data grows, and HO dashboards stop scaling with the business."
"Enterprise admin delegation and policy controls","Nice","Scale Readiness","Weekly",3,3,4,"Needs Hardening","Common","Phase 3","Large customers need cleaner delegation, policy templates, and safer admin boundaries.","As the chain grows, manual permission handling becomes messy and error-prone."
"Loyalty and cross-branch discounts","Nice","Revenue","Occasional",2,2,3,"Partial","Common","Later","This can help retention after trust-critical workflows are already stable.","It adds surface area without fixing the biggest first-customer pains."
"Messaging, reminders, and invoice sharing","Nice","Revenue","Daily",2,2,2,"Partial","Common","Later","Useful follow-up communication can improve convenience once operations are stable.","Pursuing this too early distracts from core stock, purchase, return, and compliance trust."
"Delivery workflow and dispatch UI","Nice","Revenue","Daily",2,2,4,"Partial","Common","Later","Delivery can expand service reach once store operations are dependable.","It adds operational complexity before the stock-and-returns engine is fully trusted."
"Deep integrations and ERP-to-ERP ordering","Nice","Ops Efficiency","Weekly",3,3,4,"Missing","Common","Later","Integrations matter after the in-product workflows are clean enough to deserve automation.","Premature integrations create brittle scope and support burden before the core workflows are solid."
